date,closing
2003-03-12,48.611
2003-03-13,50.2884
2003-03-14,50.3667
2003-03-17,52.1551
2003-03-18,52.377
2003-03-19,52.8338
2003-03-20,52.9383
2003-03-21,54.1522
2003-03-24,52.2464
2003-03-25,52.8795
2003-03-26,52.5924
2003-03-27,52.514
2003-03-28,52.4167
2003-03-31,51.4827
2003-04-01,52.1273
2003-04-02,53.4954
2003-04-03,53.2257
2003-04-04,53.377
2003-04-07,53.4428
2003-04-08,53.3573
2003-04-09,52.6206
2003-04-10,52.956
2003-04-11,52.7653
2003-04-14,53.7914
2003-04-15,54.1334
2003-04-16,53.4691
2003-04-17,54.3044
2003-04-21,54.2058
2003-04-22,55.3831
2003-04-23,55.8502
2003-04-24,55.3897
2003-04-25,54.6202
2003-04-28,55.6002
2003-04-29,55.791
2003-04-30,55.7384
2003-05-01,55.7055
2003-05-02,56.5474
2003-05-05,56.3369
2003-05-06,56.8105
2003-05-07,56.5276
2003-05-08,55.962
2003-05-09,56.7776
2003-05-12,57.488
2003-05-13,57.3235
2003-05-14,57.1591
2003-05-15,57.6129
2003-05-16,57.4748
2003-05-19,56.0475
2003-05-20,55.9817
2003-05-21,56.2119
2003-05-22,56.725
2003-05-23,56.8039
2003-05-27,57.9155
2003-05-28,58.0339
2003-05-29,57.8168
2003-05-30,58.6719
2003-06-02,58.8824
2003-06-03,59.1587
2003-06-04,60.0664
2003-06-05,60.3098
2003-06-06,60.1651
2003-06-09,59.4481
2003-06-10,59.994
2003-06-11,60.7768
2003-06-12,60.8491
2003-06-13,60.244
2003-06-16,61.5924
2003-06-17,61.6516
2003-06-18,61.5595
2003-06-19,60.6189
2003-06-20,60.6803
2003-06-23,59.8223
2003-06-24,59.9345
2003-06-25,59.4395
2003-06-26,60.0995
2003-06-27,59.5187
2003-06-30,59.4131
2003-07-01,59.8949
2003-07-02,60.6011
2003-07-03,60.1061
2003-07-07,61.2479
2003-07-08,61.4789
2003-07-09,61.1423
2003-07-10,60.3173
2003-07-11,60.8915
2003-07-14,61.2413
2003-07-15,61.0301
2003-07-16,60.6473
2003-07-17,59.9015
2003-07-18,60.6077
2003-07-21,59.7233
2003-07-22,60.2843
2003-07-23,60.3173
2003-07-24,59.8949
2003-07-25,60.9311
2003-07-28,60.7991
2003-07-29,60.3701
2003-07-30,60.2711
2003-07-31,60.4559
2003-08-01,59.8355
2003-08-04,59.9939
2003-08-05,58.9379
2003-08-06,59.0501
2003-08-07,59.4791
2003-08-08,59.6903
2003-08-11,59.8883
2003-08-12,60.4889
2003-08-13,60.1259
2003-08-14,60.5153
2003-08-15,60.5417
2003-08-18,61.0961
2003-08-19,61.2545
2003-08-20,61.1357
2003-08-21,61.3205
2003-08-22,60.6935
2003-08-25,60.7331
2003-08-26,60.9179
2003-08-27,60.9311
2003-08-28,61.3073
2003-08-29,61.6241
2003-09-02,62.4821
2003-09-03,62.7593
2003-09-04,62.8649
2003-09-05,62.4689
2003-09-08,63.0959
2003-09-09,62.5811
2003-09-10,61.8353
2003-09-11,62.1917
2003-09-12,62.3237
2003-09-15,62.0927
2003-09-16,62.9771
2003-09-17,62.7791
2003-09-18,63.6107
2003-09-19,63.4127
2003-09-22,62.5877
2003-09-23,62.9639
2003-09-24,61.7627
2003-09-25,61.3996
2003-09-26,61.0186
2003-09-29,61.6151
2003-09-30,60.9656
2003-10-01,62.3307
2003-10-02,62.4633
2003-10-03,63.053
2003-10-06,63.3247
2003-10-07,63.6295
2003-10-08,63.3181
2003-10-09,63.623
2003-10-10,63.5832
2003-10-13,64.0338
2003-10-14,64.2856
2003-10-15,64.1266
2003-10-16,64.332
2003-10-17,63.6759
2003-10-20,64.0006
2003-10-21,64.0868
2003-10-22,63.1325
2003-10-23,63.338
2003-10-24,63.0464
2003-10-27,63.179
2003-10-28,64.1398
2003-10-29,64.2326
2003-10-30,64.1796
2003-10-31,64.4049
2003-11-03,64.9151
2003-11-04,64.5639
2003-11-05,64.491
2003-11-06,64.8754
2003-11-07,64.5905
2003-11-10,64.2193
2003-11-11,64.1862
2003-11-12,64.9483
2003-11-13,64.935
2003-11-14,64.4513
2003-11-17,64.0404
2003-11-18,63.4639
2003-11-19,63.9742
2003-11-20,63.4374
2003-11-21,63.5434
2003-11-24,64.5706
2003-11-25,64.6898
2003-11-26,64.9815
2003-11-28,64.9682
2003-12-01,65.7037
2003-12-02,65.485
2003-12-03,65.3922
2003-12-04,65.6971
2003-12-05,65.1935
2003-12-08,65.6772
2003-12-09,65.1206
2003-12-10,65.0609
2003-12-11,65.8164
2003-12-12,65.9953
2003-12-15,65.6242
2003-12-16,66.0549
2003-12-17,66.1477
2003-12-18,66.9363
2003-12-19,66.9031
2003-12-22,67.1682
2003-12-23,67.3604
2003-12-24,67.2345
2003-12-26,67.353
2003-12-29,68.212
2003-12-30,68.2253
2003-12-31,68.3718
2004-01-02,68.1654
2004-01-05,69.0044
2004-01-06,69.0976
2004-01-07,69.2774
2004-01-08,69.6237
2004-01-09,69.0044
2004-01-12,69.3373
2004-01-13,68.9711
2004-01-14,69.5504
2004-01-15,69.6436
2004-01-16,70.1164
2004-01-20,70.0565
2004-01-21,70.6025
2004-01-22,70.3761
2004-01-23,70.2296
2004-01-26,71.0819
2004-01-27,70.3827
2004-01-28,69.4372
2004-01-29,69.8034
2004-01-30,69.617
2004-02-02,69.87
2004-02-03,69.9166
2004-02-04,69.344
2004-02-05,69.4771
2004-02-06,70.3494
2004-02-09,70.183
2004-02-10,70.5359
2004-02-11,71.315
2004-02-12,70.9753
2004-02-13,70.5891
2004-02-17,71.2817
2004-02-18,70.9687
2004-02-19,70.6824
2004-02-20,70.4959
2004-02-23,70.3095
2004-02-24,70.1896
2004-02-25,70.4826
2004-02-26,70.5759
2004-02-27,70.5825
2004-03-01,71.2617
2004-03-02,70.8422
2004-03-03,70.982
2004-03-04,71.2151
2004-03-05,71.3416
2004-03-08,70.749
2004-03-09,70.3428
2004-03-10,69.3173
2004-03-11,68.2852
2004-03-12,69.1375
2004-03-15,68.1454
2004-03-16,68.5249
2004-03-17,69.344
2004-03-18,69.2574
2004-03-19,68.7288
2004-03-22,67.8399
2004-03-23,67.7464
2004-03-24,67.5859
2004-03-25,68.6954
2004-03-26,68.3746
2004-03-29,69.2768
2004-03-30,69.5574
2004-03-31,69.5107
2004-04-01,69.885
2004-04-02,70.4798
2004-04-05,71.0211
2004-04-06,70.8941
2004-04-07,70.4263
2004-04-08,70.3528
2004-04-12,70.7204
2004-04-13,69.7513
2004-04-14,69.6711
2004-04-15,69.7112
2004-04-16,70.0654
2004-04-19,70.1456
2004-04-20,69.0496
2004-04-21,69.4238
2004-04-22,70.4062
2004-04-23,70.4464
2004-04-26,70.1322
2004-04-27,70.2926
2004-04-28,69.3369
2004-04-29,68.829
2004-04-30,68.4213
2004-05-03,69.0496
2004-05-04,69.1765
2004-05-05,69.3102
2004-05-06,68.8491
2004-05-07,67.9068
2004-05-10,67.1917
2004-05-11,67.7196
2004-05-12,67.86
2004-05-13,67.8132
2004-05-14,67.7731
2004-05-17,67.058
2004-05-18,67.5191
2004-05-19,67.3587
2004-05-20,67.3922
2004-05-21,67.6595
2004-05-24,67.7731
2004-05-25,68.8691
2004-05-26,68.9961
2004-05-27,69.3904
2004-05-28,69.357
2004-06-01,69.3904
2004-06-02,69.6444
2004-06-03,69.1298
2004-06-04,69.4906
2004-06-07,70.6134
2004-06-08,70.7204
2004-06-09,70.0521
2004-06-10,70.3728
2004-06-14,69.6978
2004-06-15,70.1122
2004-06-16,70.2125
2004-06-17,70.1188
2004-06-18,70.5561
2004-06-21,70.2611
2004-06-22,70.5159
2004-06-23,71.1195
2004-06-24,70.9183
2004-06-25,70.2745
2004-06-28,70.2275
2004-06-29,70.4086
2004-06-30,70.697
2004-07-01,69.9726
2004-07-02,69.7513
2004-07-06,69.1813
2004-07-07,69.3288
2004-07-08,68.7654
2004-07-09,69.0002
2004-07-12,69.094
2004-07-13,69.1477
2004-07-14,68.9197
2004-07-15,68.6246
2004-07-16,68.296
2004-07-19,68.2624
2004-07-20,68.7453
2004-07-21,67.8331
2004-07-22,68.021
2004-07-23,67.3637
2004-07-26,67.2296
2004-07-27,67.9002
2004-07-28,67.9472
2004-07-29,68.2758
2004-07-30,68.3563
2004-08-02,68.6648
2004-08-03,68.2356
2004-08-04,68.1752
2004-08-05,67.0686
2004-08-06,66.0357
2004-08-09,66.1162
2004-08-10,66.968
2004-08-11,66.807
2004-08-12,66.029
2004-08-13,66.1364
2004-08-16,67.035
2004-08-17,67.1893
2004-08-18,68.0411
2004-08-19,67.7997
2004-08-20,68.2356
2004-08-23,68.0813
2004-08-24,68.1081
2004-08-25,68.6581
2004-08-26,68.6648
2004-08-27,68.8392
2004-08-30,68.3161
2004-08-31,68.6313
2004-09-01,68.7587
2004-09-02,69.53
2004-09-03,69.2349
2004-09-07,69.7178
2004-09-08,69.4159
2004-09-09,69.5501
2004-09-10,69.8922
2004-09-13,70.033
2004-09-14,70.1873
2004-09-15,69.691
2004-09-16,69.8922
2004-09-17,70.2007
2004-09-20,69.8117
2004-09-21,70.2476
